PANTONENAME,UNIQUECODE,R,G,B
PANTONE 10257 C,10160,108,137,172
PANTONE 10258 C,10161,90,128,172
PANTONE 10259 C,10162,74,118,168
PANTONE 10260 C,10163,59,107,169
PANTONE 10261 C,10164,33,94,166
PANTONE 10262 C,10165,138,156,165
PANTONE 10263 C,10166,118,140,154
PANTONE 10264 C,10167,97,126,145
PANTONE 10265 C,10168,81,114,134
PANTONE 10266 C,10169,65,101,126
PANTONE 10267 C,10170,47,90,113
PANTONE 10268 C,10171,115,153,173
PANTONE 10269 C,10172,92,144,173
PANTONE 10270 C,10173,76,137,174
PANTONE 10271 C,10174,48,127,170
PANTONE 10272 C,10175,3,120,172
PANTONE 10273 C,10176,0,108,170
PANTONE 10274 C,10177,115,160,175
PANTONE 10275 C,10178,93,154,176
PANTONE 10276 C,10179,68,147,174
PANTONE 10277 C,10180,23,142,173
PANTONE 10278 C,10181,0,136,175
PANTONE 10279 C,10182,0,132,179
PANTONE 10280 C,10183,122,159,166
PANTONE 10281 C,10184,101,150,161
PANTONE 10282 C,10185,80,144,156
PANTONE 10283 C,10186,59,138,152
PANTONE 10284 C,10187,18,129,143
PANTONE 10285 C,10188,0,121,138
PANTONE 10286 C,10189,119,163,167
PANTONE 10287 C,10190,101,160,165
PANTONE 10288 C,10191,73,158,165
PANTONE 10289 C,10192,42,154,161
PANTONE 10290 C,10193,0,150,157
PANTONE 10291 C,10194,0,145,150
PANTONE 10292 C,10195,125,169,165
PANTONE 10293 C,10196,105,167,160
PANTONE 10294 C,10197,85,163,154
PANTONE 10295 C,10198,55,161,147
PANTONE 10296 C,10199,0,161,142
PANTONE 10297 C,10200,0,158,136
PANTONE 10298 C,10201,132,163,137
PANTONE 10299 C,10202,116,157,123
PANTONE 103 C,10203,196,169,6
PANTONE 10300 C,10204,101,154,113
PANTONE 10301 C,10205,84,151,100
PANTONE 10302 C,10206,64,145,87
PANTONE 10303 C,10207,32,139,76
PANTONE 10304 C,10208,139,165,132
PANTONE 10305 C,10209,127,162,116
PANTONE 10306 C,10210,114,159,103
PANTONE 10307 C,10211,99,152,90
PANTONE 10308 C,10212,83,149,79
PANTONE 10309 C,10213,64,146,64
PANTONE 10310 C,10214,149,161,148
PANTONE 10311 C,10215,133,149,130
PANTONE 10312 C,10216,120,143,119
PANTONE 10313 C,10217,107,130,103
PANTONE 10314 C,10218,94,121,89
PANTONE 10315 C,10219,82,111,80
PANTONE 10316 C,10220,149,169,128
PANTONE 10317 C,10221,141,169,110
PANTONE 10318 C,10222,128,166,95
PANTONE 10319 C,10223,120,165,81
PANTONE 10320 C,10224,109,167,68
PANTONE 10321 C,10225,94,164,50
PANTONE 10322 C,10226,164,173,120
PANTONE 10323 C,10227,156,169,98
PANTONE 10324 C,10228,155,170,84
PANTONE 10325 C,10229,149,169,66
PANTONE 10326 C,10230,143,167,48
PANTONE 10327 C,10231,139,172,27
PANTONE 10328 C,10232,150,159,124
PANTONE 10329 C,10233,139,152,107
PANTONE 10330 C,10234,128,142,90
PANTONE 10331 C,10235,120,135,79
PANTONE 10332 C,10236,109,128,66
PANTONE 10333 C,10237,98,118,53
PANTONE 10334 C,10238,155,153,133
PANTONE 10335 C,10239,147,146,118
PANTONE 10336 C,10240,140,135,101
PANTONE 10337 C,10241,131,124,88
PANTONE 10338 C,10242,122,117,75
PANTONE 10339 C,10243,113,107,60
PANTONE 10340 C,10244,159,149,127
PANTONE 10341 C,10245,155,143,113
PANTONE 10342 C,10246,147,133,94
PANTONE 10343 C,10247,138,122,81
PANTONE 10344 C,10248,132,114,66
PANTONE 10345 C,10249,122,104,53
PANTONE 10346 C,10250,166,150,126
PANTONE 10347 C,10251,159,139,107
PANTONE 10348 C,10252,155,130,94
PANTONE 10349 C,10253,148,122,78
PANTONE 10350 C,10254,142,114,67
PANTONE 10351 C,10255,135,106,55
PANTONE 10352 C,10256,169,159,144
PANTONE 10353 C,10257,165,147,120
PANTONE 10354 C,10258,163,138,102
PANTONE 10355 C,10259,159,129,87
PANTONE 10356 C,10260,152,121,73
PANTONE 10357 C,10261,145,109,60
PANTONE 10358 C,10262,163,144,123
PANTONE 10359 C,10263,157,136,106
PANTONE 10360 C,10264,152,124,91
PANTONE 10361 C,10265,142,113,76
